"Outlook","Temperature","Humidity","Wind","Play Golf"
"Rainy","Hot","High","Weak","No"
"Rainy","Hot","High","Strong","No"
"Overcast","Hot","High","Weak","Yes"
"Sunny","Mild","High","Weak","Yes"
"Sunny","Cool","Normal","Weak","Yes"
"Sunny","Cool","Normal","Strong","No"
"Overcast","Cool","Normal","Strong","Yes"
"Rainy","Mild","High","Weak","No"
"Rainy","Cool","Normal","Weak","Yes"
"Sunny","Mild","Normal","Weak","Yes"
"Rainy","Mild","Normal","Strong","Yes"
"Overcast","Mild","High","Strong","Yes"
"Overcast","Hot","Normal","Weak","Yes"
"Sunny","Mild","High","Strong","No"